Filename,Label,Area,No. of peaks,Length
COR_12_1_Hos,0,21355.0,3,44.0
COR_12_1_Hos,0,19488.0,2,47.0
COR_12_1_Hos,0,17627.0,4,49.0
COR_12_1_Hos,0,14589.5,5,51.0
COR_12_1_Hos,0,10214.5,5,53.0
COR_12_1_Hos,0,8788.5,6,55.0
COR_12_1_Hos,0,12673.0,4,69.0
COR_12_1_Hos,0,17587.5,3,84.0
COR_12_1_Hos,0,25005.5,4,89.0
COR_12_1_Hos,0,5675.5,2,105.0
COR_12_1_Hos,0,7756.5,3,112.0
COR_12_1_Hos,0,126428.5,2,121.0
COR_12_1_Hos,0,125744.0,3,123.0
COR_12_1_Hos,0,90857.5,4,127.0
COR_12_1_Hos,0,7696.5,2,134.0
COR_12_1_Hos,0,3870.5,1,159.0
COR_12_1_Hos,0,10863.0,2,162.0
COR_12_1_Hos,0,2851.0,1,174.0
COR_12_1_Hos,0,4115.5,4,180.0
COR_12_1_Hos,0,3602.5,3,181.0
COR_12_1_Hos,0,2283.0,2,192.0
COR_12_1_Hos,0,24181.0,1,214.0
COR_12_1_Hos,0,4540.0,1,224.0
COR_12_1_Hos,0,5819.5,2,228.0
COR_12_1_Hos,0,2337.5,1,240.0
COR_12_1_Hos,0,2409.0,2,253.0
COR_12_1_Hos,0,7121.0,1,278.0
COR_12_1_Hos,0,2644.0,1,295.0
COR_12_1_Hos,0,10404.5,2,299.0
COR_12_1_Hos,0,46496.0,2,303.0
COR_12_1_Hos,0,2630.0,2,318.0
COR_12_1_Hos,0,1534.0,1,344.0
COR_12_1_Hos,0,19056.0,1,353.0
COR_12_1_Hos,0,1476.5,1,363.0
COR_12_1_Hos,0,3381.0,1,423.0
COR_12_2_Hos,0,18548.0,3,44.0
COR_12_2_Hos,0,18003.0,4,47.0
COR_12_2_Hos,0,17155.5,5,49.0
COR_12_2_Hos,0,15025.5,4,51.0
COR_12_2_Hos,0,8925.5,6,55.0
COR_12_2_Hos,0,8850.5,5,57.0
COR_12_2_Hos,0,8359.0,1,70.0
COR_12_2_Hos,0,18746.5,1,84.0
COR_12_2_Hos,0,23997.5,2,89.0
COR_12_2_Hos,0,2977.5,1,105.0
COR_12_2_Hos,0,4206.5,2,115.0
COR_12_2_Hos,0,5812.0,2,117.0
COR_12_2_Hos,0,3384.0,1,156.0
COR_12_2_Hos,0,4386.0,1,192.0
COR_12_2_Hos,0,28078.5,1,214.0
COR_12_2_Hos,0,2335.5,1,224.0
COR_12_2_Hos,0,3579.0,2,239.0
COR_12_2_Hos,0,6325.0,3,245.0
COR_12_2_Hos,0,12290.5,3,249.0
COR_12_2_Hos,0,73407.0,2,253.0
COR_12_2_Hos,0,2682.0,2,270.0
COR_12_2_Hos,0,7183.5,1,278.0
COR_12_2_Hos,0,3079.5,1,318.0
COR_12_2_Hos,0,2676.0,2,330.0
COR_12_2_Hos,0,24902.0,1,354.0
COR_12_2_Hos,0,12475.5,1,394.0
COR_12_2_Hos,0,9229.0,1,423.0
COR_12_2_Hos,0,3339.0,1,464.0
COR_12_4_Hos,0,20682.5,5,44.0
COR_12_4_Hos,0,17797.5,5,47.0
COR_12_4_Hos,0,16587.0,5,49.0
COR_12_4_Hos,0,14339.5,4,51.0
COR_12_4_Hos,0,9237.5,5,55.0
COR_12_4_Hos,0,9260.0,4,57.0
COR_12_4_Hos,0,4643.5,4,70.0
COR_12_4_Hos,0,22314.5,2,84.0
COR_12_4_Hos,0,23912.0,3,90.0
COR_12_4_Hos,0,11139.0,3,105.0
COR_12_4_Hos,0,157892.0,1,116.0
COR_12_4_Hos,0,6303.5,5,127.0
COR_12_4_Hos,0,11768.5,3,133.0
COR_12_4_Hos,0,10942.0,2,138.0
COR_12_4_Hos,0,4043.5,1,155.0
COR_12_4_Hos,0,9678.0,3,159.0
COR_12_4_Hos,0,10091.0,3,164.0
COR_12_4_Hos,0,4013.0,2,180.0
COR_12_4_Hos,0,5616.0,2,182.0
COR_12_4_Hos,0,8394.5,3,188.0
COR_12_4_Hos,0,8891.5,2,192.0
COR_12_4_Hos,0,9591.5,1,203.0
COR_12_4_Hos,0,31932.5,2,213.0
COR_12_4_Hos,0,6569.0,1,224.0
COR_12_4_Hos,0,6930.5,2,228.0
COR_12_4_Hos,0,3916.5,1,238.0
COR_12_4_Hos,0,5352.0,2,245.0
COR_12_4_Hos,0,5392.0,2,249.0
COR_12_4_Hos,0,11477.0,4,253.0
COR_12_4_Hos,0,60527.0,2,257.0
COR_12_4_Hos,0,5659.0,2,277.0
COR_12_4_Hos,0,2905.5,1,290.0
COR_12_4_Hos,0,2812.5,2,318.0
COR_12_4_Hos,0,2878.5,1,337.0
COR_12_4_Hos,0,11115.5,2,341.0
COR_12_4_Hos,0,28215.5,2,345.0
COR_12_4_Hos,0,23434.5,3,352.0
COR_12_4_Hos,0,13243.0,1,371.0
COR_12_4_Hos,0,5387.5,1,422.0
COR_12_4_Hos,0,1382.5,1,464.0
COR_12_5_Hos,0,36898.0,3,43.0
COR_12_5_Hos,0,33877.0,3,47.0
COR_12_5_Hos,0,30211.5,4,49.0
COR_12_5_Hos,0,23816.0,4,51.0
COR_12_5_Hos,0,13242.0,5,53.0
COR_12_5_Hos,0,10750.5,5,55.0
COR_12_5_Hos,0,10927.5,6,57.0
COR_12_5_Hos,0,9688.5,5,58.0
COR_12_5_Hos,0,15100.5,5,69.0
COR_12_5_Hos,0,20543.0,3,83.0
COR_12_5_Hos,0,29132.0,3,88.0
COR_12_5_Hos,0,24882.5,3,92.0
COR_12_5_Hos,0,4710.0,1,105.0
COR_12_5_Hos,0,119922.5,2,116.0
COR_12_5_Hos,0,11900.5,5,127.0
COR_12_5_Hos,0,18205.0,3,133.0
COR_12_5_Hos,0,2825.0,1,155.0
COR_12_5_Hos,0,3495.5,1,165.0
COR_12_5_Hos,0,5796.5,4,171.0
COR_12_5_Hos,0,6637.0,4,173.0
COR_12_5_Hos,0,7819.0,4,174.0
COR_12_5_Hos,0,7987.5,3,178.0
COR_12_5_Hos,0,2624.0,2,187.0
COR_12_5_Hos,0,7555.0,3,192.0
COR_12_5_Hos,0,17412.0,1,214.0
COR_12_5_Hos,0,4686.5,1,224.0
COR_12_5_Hos,0,3411.0,1,239.0
COR_12_5_Hos,0,4335.5,2,245.0
COR_12_5_Hos,0,3087.0,1,264.0
COR_12_5_Hos,0,9955.5,3,268.0
COR_12_5_Hos,0,37010.0,2,272.0
COR_12_5_Hos,0,36440.0,4,278.0
COR_12_5_Hos,0,13175.5,3,284.0
COR_12_5_Hos,0,8673.0,2,288.0
COR_12_5_Hos,0,38045.0,2,292.0
COR_12_5_Hos,0,3504.5,2,318.0
COR_12_5_Hos,0,13085.5,1,352.0
COR_12_5_Hos,0,8352.5,1,393.0
COR_12_5_Hos,0,5368.5,1,423.0
COR_12_6_Hos,0,21301.5,3,46.0
COR_12_6_Hos,0,17693.5,4,51.0
COR_12_6_Hos,0,10957.5,5,55.0
COR_12_6_Hos,0,11239.5,6,57.0
COR_12_6_Hos,0,10344.0,5,58.0
COR_12_6_Hos,0,13513.0,4,69.0
COR_12_6_Hos,0,18713.0,2,84.0
COR_12_6_Hos,0,24091.0,2,90.0
COR_12_6_Hos,0,4126.5,2,105.0
COR_12_6_Hos,0,133014.0,2,116.0
COR_12_6_Hos,0,117609.5,3,122.0
COR_12_6_Hos,0,7609.0,4,128.0
COR_12_6_Hos,0,3550.5,1,151.0
COR_12_6_Hos,0,3995.0,2,165.0
COR_12_6_Hos,0,5841.0,3,169.0
COR_12_6_Hos,0,3619.0,1,178.0
COR_12_6_Hos,0,4572.0,2,182.0
COR_12_6_Hos,0,5113.5,2,192.0
COR_12_6_Hos,0,14272.0,2,214.0
COR_12_6_Hos,1,17815.0,2,216.0
COR_12_6_Hos,0,2445.5,1,239.0
COR_12_6_Hos,0,3666.5,4,272.0
COR_12_6_Hos,0,9832.0,4,278.0
COR_12_6_Hos,0,11502.0,3,280.0
COR_12_6_Hos,0,29562.5,3,284.0
COR_12_6_Hos,0,29841.5,3,288.0
COR_12_6_Hos,0,61835.0,2,292.0
COR_12_6_Hos,0,1940.5,1,318.0
COR_12_6_Hos,0,12711.5,1,352.0
COR_12_6_Hos,0,15849.5,2,354.0
COR_12_6_Hos,0,3484.5,1,423.0
COR_12_7_Hos,0,26771.0,2,43.0
COR_12_7_Hos,0,23315.5,3,47.0
COR_12_7_Hos,0,22710.0,4,49.0
COR_12_7_Hos,0,18922.0,4,51.0
COR_12_7_Hos,0,11383.5,6,55.0
COR_12_7_Hos,0,11052.0,6,57.0
COR_12_7_Hos,0,9758.5,5,58.0
COR_12_7_Hos,0,10585.5,3,69.0
COR_12_7_Hos,0,37259.5,3,83.0
COR_12_7_Hos,0,40099.5,3,90.0
COR_12_7_Hos,0,11044.5,3,105.0
COR_12_7_Hos,0,4909.0,2,116.0
COR_12_7_Hos,0,9629.5,2,119.0
COR_12_7_Hos,0,10889.0,4,121.0
COR_12_7_Hos,0,13800.5,2,127.0
COR_12_7_Hos,0,4793.0,1,155.0
COR_12_7_Hos,0,9160.0,2,160.0
COR_12_7_Hos,0,8341.5,2,164.0
COR_12_7_Hos,0,9794.5,4,171.0
COR_12_7_Hos,0,13760.5,4,172.0
COR_12_7_Hos,0,8141.5,3,180.0
COR_12_7_Hos,0,4212.0,2,190.0
COR_12_7_Hos,0,6867.0,2,192.0
COR_12_7_Hos,0,38000.0,2,214.0
COR_12_7_Hos,0,4567.5,1,224.0
COR_12_7_Hos,0,3605.5,2,238.0
COR_12_7_Hos,0,6264.0,2,261.0
COR_12_7_Hos,0,19466.0,3,265.0
COR_12_7_Hos,0,84225.5,2,268.0
COR_12_7_Hos,0,73196.5,2,272.0
COR_12_7_Hos,0,23813.5,2,277.0
COR_12_7_Hos,0,3648.0,3,318.0
